valid_time,ssr,ssrd,fdir,d2m,t2m,u10,v10,tcc
2022-06-09 21:00:00+00:00,6.7556258135359,7.677880748563636,2.1874254465545127,11.62952393620742,14.431350259534838,2.320665392839945,5.638234917780693,0.7314060084115142
2022-06-09 22:00:00+00:00,0.0845368421454552,0.09315288010340567,0.01679448039769854,11.519789215388641,14.188302748369892,2.4235738361337176,5.791695671220923,0.6580026183133688
2022-06-09 23:00:00+00:00,9.999996586968585e-16,0.0,0.0,11.45983804731577,14.033440652844035,2.604875455610001,5.827649051329256,0.6872743867820527
2022-06-10 00:00:00+00:00,9.999996586968585e-16,0.0,0.0,11.418488316736898,13.892638562167122,2.782841829874175,5.851523711442863,0.648315942928114
2022-06-10 01:00:00+00:00,9.999996586968585e-16,0.0,0.0,11.36376180845133,13.765915645174744,3.015916801890832,5.821253194336774,0.6821867666971037
2022-06-10 02:00:00+00:00,9.999996586968585e-16,0.0,0.0,11.28058275697066,13.57091091104553,3.226832391321357,5.7584640868271695,0.6559955687385884
2022-06-10 03:00:00+00:00,0.0007090118413474696,0.0007878698189860007,2.950961340312313e-05,11.152888049251544,13.41938134298465,3.2918487905218066,5.647598882464432,0.5986598877697652
2022-06-10 04:00:00+00:00,2.0255697517994267,2.2484238211820826,0.41230831610686686,11.052895020888798,13.262287595270152,3.363525031648829,5.615288182251845,0.5623125032928167
2022-06-10 05:00:00+00:00,29.01621930761186,33.523811167416326,12.335820301703698,11.062802849170737,13.303373152868176,3.3266902309904265,5.710111907808224,0.5196616666113288
2022-06-10 06:00:00+00:00,95.00413799397882,109.40240421731636,53.05448599646175,11.125671779707034,13.626131967864978,3.343728648063434,5.887046451379928,0.44142490651466304
2022-06-10 07:00:00+00:00,199.69041825708206,227.5432900234179,141.91321302634063,11.086434976181692,14.01090271729612,3.6407744124601416,6.192270515048069,0.4388333169649947
2022-06-10 08:00:00+00:00,317.36017678137966,357.18893687737074,241.65323716817448,10.892036871304754,14.338790310063303,4.037048042953387,6.394313310294109,0.42994500607376546
2022-06-10 09:00:00+00:00,416.0199403471739,463.50593613630673,318.98267745220755,10.7647576084712,14.710630614144407,4.1622800941971265,6.482995576498458,0.47726720669212197
2022-06-10 10:00:00+00:00,497.00150979442174,550.6075627692999,376.0723396646635,10.738736711733338,15.189397072493023,4.090733973311852,6.579026982992759,0.48510633192688873
2022-06-10 11:00:00+00:00,555.8953931363094,613.592561567998,410.9443887473429,10.636659918856026,15.486464719625417,4.108054499097147,6.734422379501779,0.4572797498410179
2022-06-10 12:00:00+00:00,591.0739385794712,651.4476255337479,436.4922329872725,10.54539511654275,15.75046086691998,4.1508664734739344,6.88807711908256,0.4498490092205122
2022-06-10 13:00:00+00:00,597.954213867374,658.2837186054978,438.9341277537588,10.592879400153777,15.949101652510649,4.2513123619259305,7.001739122415921,0.4178594420537059
2022-06-10 14:00:00+00:00,576.2508268214972,634.3910970421852,428.64313044639056,10.499713460265525,16.011578825901324,4.336428104247912,7.057545051468036,0.4136164051404136
2022-06-10 15:00:00+00:00,526.9892893408465,580.2775822832953,398.7888517537206,10.497322121540549,15.962894337621833,4.482090797303406,7.082180229189671,0.4160164374850777
2022-06-10 16:00:00+00:00,444.73627706462565,493.45589503510115,340.3593332260757,10.478253148009173,15.809647119943861,4.604647255083772,6.983132383315117,0.44093539958767236
2022-06-10 17:00:00+00:00,352.6129373464928,393.89151419836725,265.70908473464016,10.45700041499913,15.616479951496558,4.569739006146803,6.749616072799438,0.4375459643307262
2022-06-10 18:00:00+00:00,249.19349799343155,281.1016513722381,184.67571273411278,10.365164193743624,15.438103153199506,4.498182560942158,6.541583299094719,0.44588522346424536
2022-06-10 19:00:00+00:00,140.51352457695648,161.44832033786403,96.1756106690591,10.350125878451877,15.124856113574708,4.525682806748154,6.430373166438741,0.4154140336387824
2022-06-10 20:00:00+00:00,55.902845002840245,65.18050159601844,31.207633098921274,10.345352930146191,14.639525555772423,4.572950041389506,6.299918075187743,0.39015354746446435
2022-06-10 21:00:00+00:00,8.183886694737312,9.381932947340767,2.8862242682401384,10.337006107624461,14.18573431364348,4.536268642944387,6.201094183582637,0.3686500189372435
2022-06-10 22:00:00+00:00,0.056398744985968516,0.060827274219072996,0.002707114679522833,10.375819487613853,13.825800756594788,4.740541775638835,6.378728165615881,0.43439115497953207
2022-06-10 23:00:00+00:00,9.999996586968585e-16,0.0,0.0,10.332917911473999,13.605092751137931,4.970337636242238,6.355954613501182,0.4185061520913228
2022-06-11 00:00:00+00:00,9.999996586968585e-16,0.0,0.0,10.283156367471975,13.38393264990708,5.124340045753964,6.2727120883762,0.43665147110189073
2022-06-11 01:00:00+00:00,9.999996586968585e-16,0.0,0.0,10.255769324117125,13.208330085979753,5.284207389954608,6.168695516730202,0.441563769828654
2022-06-11 02:00:00+00:00,9.999996586968585e-16,0.0,0.0,10.241572900020344,13.023039331636937,5.3795949907992755,6.030154166979946,0.4452556829865909
2022-06-11 03:00:00+00:00,0.0012416055447239673,0.0013498309940126589,2.950961340312313e-05,10.227020191860277,12.872967112353649,5.340472472582179,5.939336369765737,0.4378668150699702
2022-06-11 04:00:00+00:00,2.9079661682866056,3.22350059238244,0.7240037052770876,10.221696003669365,12.804885727834915,5.303080264214474,5.8914257104501715,0.42934485386832943
2022-06-11 05:00:00+00:00,34.656613713695585,40.13507984206643,17.1393205411817,10.323348121817219,12.923878313103955,5.30833157254391,5.964044545369757,0.3877200189982775
2022-06-11 06:00:00+00:00,109.11027968173772,125.80978994300942,71.60958766853952,10.431523773886056,13.216426506051505,5.323599907892989,6.021728237397829,0.35517559108239255
2022-06-11 07:00:00+00:00,216.26838588773566,245.77182553809826,163.53330247585242,10.483731184003375,13.555431705308024,5.712944235276205,6.197691568204829,0.37387349437655604
